epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,561.258,0.9318,0.38786,0.00286,0.92493,1,0.95143,0.64633,1.26137,0.38615,0.00323,0.00497556,0.00165852,0.00497556,0.00165852,0.00497556,0.00165852,0.00497556,0.00165852
112,566.347,0.9444,0.35007,0.00267,0.92485,1,0.96214,0.69037,1.14293,0.34723,0.00316,0.00474443,0.00158148,0.00474443,0.00158148,0.00474443,0.00158148,0.00474443,0.00158148
113,571.152,0.87459,0.34422,0.00267,0.92487,1,0.96214,0.71371,1.05713,0.33171,0.00315,0.0045178,0.00150593,0.0045178,0.00150593,0.0045178,0.00150593,0.0045178,0.00150593
114,576.195,0.94868,0.43695,0.00279,0.92478,1,0.99,0.73079,1.13426,0.33571,0.00299,0.00429577,0.00143192,0.00429577,0.00143192,0.00429577,0.00143192,0.00429577,0.00143192
115,580.926,0.92735,0.34342,0.00256,0.92477,1,0.96786,0.69312,1.15032,0.34163,0.00288,0.00407844,0.00135948,0.00407844,0.00135948,0.00407844,0.00135948,0.00407844,0.00135948
116,585.963,0.98106,0.39055,0.00256,0.92472,1,0.95143,0.70055,1.16665,0.35213,0.00319,0.0038659,0.00128863,0.0038659,0.00128863,0.0038659,0.00128863,0.0038659,0.00128863
117,590.801,0.93019,0.39412,0.00262,0.92473,1,0.94571,0.6893,1.22515,0.36464,0.00341,0.00365825,0.00121942,0.00365825,0.00121942,0.00365825,0.00121942,0.00365825,0.00121942
118,595.832,0.91789,0.39084,0.00263,0.92472,1,0.94571,0.70121,1.05693,0.33376,0.00296,0.00345558,0.00115186,0.00345558,0.00115186,0.00345558,0.00115186,0.00345558,0.00115186
119,600.565,0.90427,0.39928,0.00268,0.92475,1,0.94571,0.73965,0.99236,0.32606,0.00265,0.00325798,0.00108599,0.00325798,0.00108599,0.00325798,0.00108599,0.00325798,0.00108599
120,605.663,0.90038,0.31407,0.00248,0.92468,1,0.94571,0.70037,1.02612,0.3321,0.0027,0.00306553,0.00102184,0.00306553,0.00102184,0.00306553,0.00102184,0.00306553,0.00102184
121,663.795,0.70946,0.26045,0.00212,0.92459,1,0.94571,0.66084,1.19121,0.36434,0.00343,0.00287831,0.000959438,0.00287831,0.000959438,0.00287831,0.000959438,0.00287831,0.000959438
122,669.225,0.73255,0.27496,0.00222,0.92451,1,0.94071,0.66033,1.1853,0.38863,0.00351,0.00269642,0.000898807,0.00269642,0.000898807,0.00269642,0.000898807,0.00269642,0.000898807
123,674.191,0.72495,0.25051,0.00212,0.92441,1,0.94071,0.65589,1.18526,0.40095,0.0033,0.00251993,0.000839976,0.00251993,0.000839976,0.00251993,0.000839976,0.00251993,0.000839976
124,679.397,0.7157,0.24123,0.0021,0.9241,1,0.94071,0.6636,1.14313,0.40124,0.0032,0.00234891,0.000782971,0.00234891,0.000782971,0.00234891,0.000782971,0.00234891,0.000782971
125,684.255,0.74736,0.23415,0.00216,0.92375,1,0.94571,0.67594,1.15123,0.40481,0.00321,0.00218345,0.000727817,0.00218345,0.000727817,0.00218345,0.000727817,0.00218345,0.000727817
126,689.466,0.75386,0.243,0.00211,0.92313,1,0.94571,0.64889,1.21725,0.42052,0.00339,0.00202361,0.000674538,0.00202361,0.000674538,0.00202361,0.000674538,0.00202361,0.000674538
127,694.247,0.72348,0.25536,0.00223,0.92335,1,0.94071,0.65192,1.19976,0.41892,0.00336,0.00186947,0.000623157,0.00186947,0.000623157,0.00186947,0.000623157,0.00186947,0.000623157
128,699.328,0.7263,0.2565,0.00211,0.92348,1,0.94571,0.66686,1.15674,0.40574,0.00331,0.00172109,0.000573698,0.00172109,0.000573698,0.00172109,0.000573698,0.00172109,0.000573698
129,704.104,0.73442,0.27379,0.00241,0.92378,1,0.94571,0.65653,1.19353,0.40142,0.00324,0.00157854,0.00052618,0.00157854,0.00052618,0.00157854,0.00052618,0.00157854,0.00052618
130,709.219,0.74981,0.22603,0.00231,0.92386,1,0.94571,0.67201,1.15876,0.37557,0.00303,0.00144188,0.000480627,0.00144188,0.000480627,0.00144188,0.000480627,0.00144188,0.000480627
